section,category,templates,routes,Home,Product — Scribe,Product — Evidence,Product — Coding,Product — Dictate,Hardware (Remote),Pricing,Solutions — Enterprise,Solutions — Medical Trainees,Solutions — vertical (shared),Generic — index with cards,Generic — FAQ minimal,Generic — cards + split,Generic — integration detail,Podcast index,Customer stories index,Resource centre index,Contact,Careers,Safety & Compliance,About us — Awards,About us — Media,Impact,Partners,Integrations index,Resources — Patient experience,Resources — Evaluation framework
shell.announcement-bar,SHELL,27,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.nav,SHELL,27,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.footer,SHELL,27,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.download-drawer,SHELL,27,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
generic.hero,HERO,16,20,,,,,,,,,,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
generic.cta,CONVERSION,11,13,,,,,,,,,,,x,x,,,x,x,x,x,x,,x,x,,x,x,,
generic.centered,CONTENT,11,12,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,x,,x,x
generic.prose,CONTENT,11,12,,,,,,,,,,,,,,x,x,x,,,x,x,x,,x,x,x,x,x
generic.cards,CONTENT,9,11,,,,,,,,,,,x,,x,,x,x,,,x,x,x,x,,,x,,
solutions.hero,HERO,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.specialty-strip,CONTENT,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.feature-row,FEATURE,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.stats-band,PROOF,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.day-with-heidi,FEATURE,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.template-grid,CONTENT,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.template-practice,CONTENT,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.video-band,FEATURE,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.testimonials,PROOF,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.faq,CONVERSION,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
solutions.cta-band,CONVERSION,1,10,,,,,,,,,,x,,,,,,,,,,,,,,,,,
generic.faq,CONVERSION,7,8,,,,,,,,,,,,x,,,,,,,,x,x,,x,x,x,,x
generic.split,FEATURE,6,8,,,,,,,,,,,,,x,x,,,,,,,,,x,,x,x,x
generic.stats,PROOF,6,7,,,,,,,,,,,,,,x,,,,,x,,x,x,x,,,,x
band.faq-band,CONVERSION,6,6,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,
band.logo-marquee,PROOF,5,5,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
band.tabs-split,FEATURE,3,3,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,
band.pattern-cta,CONVERSION,3,3,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,
generic.quotes,PROOF,2,2,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
generic.links,CONTENT,2,2,,,,,,,,,,,,,,,,,x,,x,,,,,,,,
band.product-hero,HERO,2,2,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
band.product-cards-panel,FEATURE,2,2,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
band.partner-cta,CONVERSION,2,2,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
band.feature-split,FEATURE,2,2,,,,x,,,,,x,,,,,,,,,,,,,,,,,,
band.green-band,CONVERSION,2,2,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
band.statement,CONTENT,2,2,,,,x,,,,,x,,,,,,,,,,,,,,,,,,
generic.logos,PROOF,1,1,,,,,,,,,,,,,,,,,,,,,,,x,,,,
generic.pills,CONTENT,1,1,,,,,,,,,,,,,,,,,,,x,,,,,,,,
band.practice-panel,CONTENT,1,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,
band.timeline,FEATURE,1,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,
band.center-showcase,FEATURE,1,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,
band.panel-feature,FEATURE,1,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,
band.quote-block,PROOF,1,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,
band.split-hero,HERO,1,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,
band.icon-grid,FEATURE,1,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,
band.icon-columns-panel,FEATURE,1,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,
band.pill-hero,HERO,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.shot-panel,PROOF,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.chip-field,CONTENT,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.two-tone-quote,PROOF,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.demo-video,FEATURE,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.card-trio,CONTENT,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.download-split,CONVERSION,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.image-cta,CONVERSION,1,1,,,,,x,,,,,,,,,,,,,,,,,,,,,,
band.video-hero,HERO,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.image-trio,FEATURE,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.icon-card-trio,FEATURE,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.video-intro,FEATURE,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.story-quote,PROOF,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.compliance-panel,CONTENT,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.diagram-band,FEATURE,1,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,
band.edge-hero,HERO,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.stats-panel,PROOF,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.org-cards,CONTENT,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.dark-quote,PROOF,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.video-split,FEATURE,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.panel-tabs,FEATURE,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.image-grid,CONTENT,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.case-studies,PROOF,1,1,,,,,,,,x,,,,,,,,,,,,,,,,,,,
band.quote-carousel,PROOF,1,1,,,,,,,,,x,,,,,,,,,,,,,,,,,,
band.tools-panel,FEATURE,1,1,,,,,,,,,x,,,,,,,,,,,,,,,,,,
home.hero,HERO,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
home.logo-panel,PROOF,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
home.quote-band,PROOF,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
home.bento,FEATURE,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
home.dark-band,FEATURE,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
home.cta-band,CONVERSION,1,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,
pricing.hero,HERO,1,1,,,,,,,x,,,,,,,,,,,,,,,,,,,,
pricing.compare-table,COMMERCE,1,1,,,,,,,x,,,,,,,,,,,,,,,,,,,,
trainees.hero,HERO,1,1,,,,,,,,,x,,,,,,,,,,,,,,,,,,
trainees.template-showcase,CONTENT,1,1,,,,,,,,,x,,,,,,,,,,,,,,,,,,
ROUTE COUNT,,,40,1,1,1,1,1,1,1,1,1,10,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
